step;score;epsilon
0;264.0;0.9990700000000077
1;88.0;0.9979000000000173
2;220.0;0.9968140000000263
3;176.0;0.9957880000000348
4;264.0;0.9948700000000423
5;44.0;0.993826000000051
6;264.0;0.9926980000000603
7;264.0;0.9914560000000705
8;264.0;0.9903580000000796
9;264.0;0.9891160000000898
10;264.0;0.9881140000000981
11;264.0;0.9873220000001046
12;396.0;0.9854080000001204
13;708.0;0.9833620000001373
14;176.0;0.9821260000001475
15;264.0;0.9812080000001551
16;528.0;0.9796780000001677
17;264.0;0.9786640000001761
18;352.0;0.9771580000001885
19;264.0;0.976000000000198
20;484.0;0.9742060000002128
21;132.0;0.9732640000002206
22;396.0;0.972250000000229
23;220.0;0.9711040000002384
24;484.0;0.9694720000002519
25;264.0;0.9685240000002597
26;396.0;0.9669460000002728
27;308.0;0.9654220000002853
28;616.0;0.9635860000003005
29;308.0;0.962188000000312
30;440.0;0.9606580000003246
31;396.0;0.9595000000003342
32;484.0;0.9582040000003449
33;264.0;0.956854000000356
34;440.0;0.9552940000003689
35;220.0;0.9542260000003777
36;308.0;0.9528160000003894
37;308.0;0.9517600000003981
38;572.0;0.9502660000004104
39;264.0;0.9493240000004182
40;440.0;0.9479200000004298
41;220.0;0.9463480000004427
42;528.0;0.9446740000004565
43;132.0;0.943522000000466
44;264.0;0.942196000000477
45;484.0;0.9409420000004873
46;756.0;0.9381700000005102
47;440.0;0.9364060000005248
48;220.0;0.9352240000005345
49;176.0;0.9339280000005452
50;308.0;0.9329620000005532
51;440.0;0.9318520000005623
52;440.0;0.9300640000005771
53;264.0;0.9290860000005852
54;440.0;0.9278020000005958
55;220.0;0.9268600000006035
56;264.0;0.925840000000612
57;176.0;0.9246460000006218
58;308.0;0.9232000000006337
59;528.0;0.921466000000648
60;220.0;0.9202300000006582
61;440.0;0.9187780000006702
62;264.0;0.9178720000006777
63;176.0;0.9169600000006852
64;264.0;0.9159760000006933
65;308.0;0.915046000000701
66;264.0;0.9139180000007103
67;352.0;0.9124000000007229
68;396.0;0.9109900000007345
69;220.0;0.9100360000007424
70;132.0;0.9090460000007505
71;396.0;0.9077260000007614
72;132.0;0.9067780000007692
73;220.0;0.9056500000007786
74;176.0;0.9045820000007874
75;396.0;0.9031600000007991
76;308.0;0.902326000000806
77;132.0;0.9014680000008131
78;572.0;0.8999380000008257
79;220.0;0.8985100000008375
80;484.0;0.8968780000008509
81;308.0;0.895900000000859
82;572.0;0.8943100000008721
83;176.0;0.8933200000008803
84;132.0;0.8921320000008901
85;132.0;0.8911360000008983
86;528.0;0.8894260000009124
87;264.0;0.8883100000009216
88;396.0;0.8869960000009325
89;220.0;0.8860120000009406
90;440.0;0.8848840000009499
91;440.0;0.8836000000009605
92;572.0;0.8818120000009753
93;572.0;0.8802520000009881
94;264.0;0.8789920000009985
95;220.0;0.8781880000010052
96;264.0;0.8770420000010146
97;572.0;0.8752540000010294
98;308.0;0.8738800000010407
99;308.0;0.8724400000010526
100;132.0;0.8715940000010596
101;396.0;0.870574000001068
102;440.0;0.8692060000010793
103;132.0;0.868264000001087
104;264.0;0.8673340000010947
105;440.0;0.8659180000011064
106;176.0;0.8647240000011163
107;308.0;0.8637160000011246
108;176.0;0.8627800000011323
109;616.0;0.8613340000011442
110;220.0;0.8601580000011539
111;396.0;0.8586280000011666
112;220.0;0.8575240000011757
113;484.0;0.856030000001188
114;396.0;0.8545900000011999
115;264.0;0.8535820000012082
116;176.0;0.8524720000012174
117;308.0;0.8515960000012246
